participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
MJP1611,cleaned,1.4897144847275576,1.4267088648240165,-159.7732062204437,-153.68604997426425,-6.087156246179461,-151.70945356709987,-142.15148758937923,-9.557965977720642,False,
ZM311,sg,1.083752615099896,1.3860098710789128,-175.362792326332,-155.10417249350823,-20.25861983282377,-167.29903967298816,-143.5696101086232,-23.72942956436495,False,
ZM311,bw,1.0788039903783544,1.3655577567989,-175.58704822232949,-155.8326096547957,-19.754438567533782,-167.52329556898565,-144.29804726991068,-23.225248299074963,False,
ZM311,cleaned,1.6395256320649736,1.2846671286043716,-155.07790515872856,-158.824712203229,3.746807044500457,-147.01415250538471,-147.290149818344,0.27599731295927654,True,
BE1110,sg,0.601720878677563,0.367150003086035,-204.19396406618935,-220.19644915469848,16.002485088509133,-196.1302114128455,-208.66188676981346,12.531675356967952,True,
BE1110,bw,0.6109221508682098,0.37261640934597184,-203.45034705875608,-219.472277909336,16.021930850579906,-195.38659440541224,-207.93771552445097,12.551121119038726,True,
BE1110,cleaned,0.5976493343407212,0.3670033205310466,-204.52664939842114,-220.21602938421964,15.689379985798496,-196.4628967450773,-208.68146699933462,12.218570254257315,True,
WB2110,sg,0.939357291180023,0.9126497180510285,-182.36925491771225,-175.57794809540204,-6.791306822310219,-174.3055022643684,-164.04338571051701,-10.2621165538514,False,TD1
WB2110,bw,0.9395491742953689,0.9129672364865346,-182.35924667849716,-175.56090355223213,-6.798343126265024,-174.29549402515332,-164.0263411673471,-10.269152857806205,False,TD1
WB2110,cleaned,0.9388731428580326,0.9116166499972087,-182.39451621459366,-175.63344474976662,-6.76107146482704,-174.33076356124982,-164.0988823648816,-10.23188119636822,False,TD1
HA2610,sg,0.5971557967046403,0.4877244114845454,-204.56713021812143,-206.28142800489746,1.7142977867760294,-196.5033775647776,-194.74686562001244,-1.7565119447651512,False,
HA2610,bw,0.6018585792878879,0.48994703001222245,-204.18275196068075,-206.058636398523,1.8758844378422452,-196.1189993073369,-194.52407401363797,-1.5949252936989353,False,
HA2610,cleaned,0.5928118963516006,0.37275763385394384,-204.92487448968527,-219.45371004790704,14.528835558221772,-196.86112183634143,-207.91914766302202,11.058025826680591,True,
WV0510,sg,0.5111215348018496,0.2705582515580775,-212.19009188391965,-235.15531955927378,22.96522767535413,-204.1263392305758,-223.62075717438876,19.494417943812948,True,
WV0510,bw,0.5111648305115268,0.27007779683664135,-212.18594140349177,-235.24241063511997,23.0564692316282,-204.12218875014793,-223.70784825023495,19.58565950008702,True,
WV0510,cleaned,0.5111024016801123,0.26825000573100166,-212.191926164906,-235.57515253666,23.383226371754006,-204.12817351156215,-224.04059015177498,19.912416640212825,True,
KL1507,sg,0.8913298557458301,0.9466074894381867,-184.9408406362903,-173.78786133810215,-11.152979298188143,-176.87708798294645,-162.25329895321713,-14.623789029729323,False,
KL1507,bw,0.8918047503718398,0.9451295549811394,-184.91474071411412,-173.86442462510115,-11.050316089012966,-176.85098806077028,-162.32986224021613,-14.521125820554147,False,
KL1507,cleaned,1.1046255070991848,0.9300562430672973,-174.42803364388598,-174.65219530152427,0.224161657638291,-166.36428099054214,-163.11763291663925,-3.2466480739028896,False,
SC2404,sg,0.6209404879895969,0.3692472957569295,-202.6533274453167,-219.9173399865969,17.26401254128018,-194.58957479197286,-208.38277760171187,13.793202809739,True,tau2
SC2404,bw,0.6390930042000114,0.3876636307695062,-201.24140491732348,-217.53243967941856,16.29103476209508,-193.17765226397964,-205.99787729453354,12.8202250305539,True,tau2
SC2404,cleaned,0.6140478221337151,0.3618620805773508,-203.20028668539,-220.90730910642986,17.707022421039852,-195.13653403204617,-209.37274672154484,14.236212689498672,True,tau2
HJ1011,sg,0.2831835109390698,0.22586381466641312,-241.12519277441183,-244.00252412169797,2.8773313472861446,-233.061440121068,-232.46796173681295,-0.593478384255036,True,tau2
HJ1011,bw,0.2830023427791525,0.22554407140723934,-241.15655081728985,-244.07193993299907,2.9153891157092175,-233.09279816394601,-232.53737754811405,-0.555420615831963,True,tau2
HJ1011,cleaned,0.2819675133236815,0.2244363077825987,-241.33605313755234,-244.31319724008725,2.9771441025349077,-233.2723004842085,-232.77863485520223,-0.49366562900627287,True,tau2
KT1809,sg,0.5813389839023203,0.5683998587452685,-205.88248668765337,-198.78077103975463,-7.101715647898743,-197.81873403430953,-187.2462086548696,-10.572525379439924,False,
KT1809,bw,0.5814877235225293,0.5680839432534638,-205.8699513005945,-198.8080127117783,-7.06193858881619,-197.80619864725065,-187.27345032689328,-10.53274832035737,False,
KT1809,cleaned,0.5713507908487477,0.5555799670393311,-206.73168951773366,-199.89858814205832,-6.833101375675341,-198.66793686438982,-188.3640257571733,-10.303911107216521,False,
SJ0507,sg,0.28827924070206806,0.28828030821148465,-240.25130422838117,-232.04647161699071,-8.204832611390458,-232.18755157503733,-220.5119092321057,-11.675642342931638,False,A2 tau2
SJ0507,bw,0.47861586287147956,0.47861636954877423,-215.40983679733793,-207.2051337616859,-8.204703035652045,-207.3460841439941,-195.67057137680086,-11.675512767193226,False,A2 tau2 TD2
SJ0507,cleaned,0.2685035572528235,0.2685035589483679,-243.7335104790599,-235.52885900684433,-8.204651472215573,-235.66975782571606,-223.9942966219593,-11.675461203756754,False,A2 tau2
PE1605,sg,0.4786562017405373,0.42674521394574694,-215.40570713627693,-212.82603309965998,-2.57967403661695,-207.3419544829331,-201.29147071477496,-6.050483768158131,False,
PE1605,bw,0.4801390259799868,0.4443690635807755,-215.25414516858893,-210.84308664709965,-4.411058521489281,-207.1903925152451,-199.30852426221463,-7.881868253030461,False,tau2
PE1605,cleaned,0.4748285019225355,0.4386998331958675,-215.79912361775428,-211.4722473080735,-4.3268763096807845,-207.73537096441044,-199.93768492318847,-7.797686041221965,False,
