time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p40,p42,p43,p44
115,4.2325563379598155,3.854268331524536,2.895234632609596,4.857716575506435,4.909035577860156,3.2420841867141563,4.55046974690907,4.388968591671263,2.85293289750905,2.8388913046336244,2.513960251935912,3.620607274921434,3.24360368828563,4.253220036615135,3.7933297370730754,4.461114963546054,3.418711249065988,2.463519037348572,2.844547918687102,4.563199189946044,2.809786508196718,2.76783801007643,3.2957716830930837,3.8244742645920815,2.9045401672933897,2.4584300613439316,3.38646114774985,2.69636003117839,3.724349724111376,3.581943306477826
120,4.240110126993392,3.831651113498652,2.9085374682120237,4.5832756337798575,4.8678689939331,3.2560931146319922,4.490321626881451,4.245990931392754,2.8646636663754963,3.066034500130656,2.534036221374436,3.313478567703148,3.2485961318923744,4.326264069969328,3.819207581491934,4.403109010188296,3.5484219727351403,2.4196366978388637,2.830229587112724,4.57761712296899,2.967317325392142,2.8951080888377883,3.278930076129324,3.6606414738236723,2.705453540299974,2.483142378567778,3.7616733111385643,2.61679746560044,3.771704774935018,3.639754721378978
125,4.357273239325272,3.5356921256419227,2.931467520855532,4.5455899546904135,4.963544204494966,3.229074596092596,4.413125210455774,4.579260971172932,2.84695012255617,2.977560419962562,2.539973815349548,3.589365815057878,3.1272245369609317,4.2653956555750066,3.74224717099998,4.59120688203564,3.4058562590604735,2.29668282398723,2.873092098189558,4.569473782338068,3.086765494336686,2.811028921878072,3.336077982512914,3.8401527064820202,3.077747770447398,2.498689311068318,3.5485046461175003,2.61880354878821,3.8280032467463263,3.793108517759682
130,4.3019435465856715,3.807431438877866,2.86624765096549,4.524286666217124,4.969407749486126,3.1141128616564138,4.491925416920018,4.58569055456638,2.83747192900116,2.970424967645076,2.506806281955354,3.5701593638295543,3.545120374567982,4.200534806996864,3.8041366487616104,4.383654954622826,3.505010320633572,2.3547159948673824,2.914938433512356,4.562187331911494,2.921062915823396,2.676324216389794,3.289103690770368,3.8792482663280823,2.910654724037572,2.4709097735051637,3.597294216299602,2.767899731428374,3.771701921558222,3.9234254594385902
135,4.316786520065776,3.6932156321892435,2.9927982157043282,4.429635076643542,4.988887767424687,3.273975359470648,4.510111320502234,4.4307970454178705,2.673069225357828,2.973088045268354,2.6432447261111323,3.4518111520665498,3.271386828070944,4.332520428634176,3.7380088486618703,4.4194287952248885,3.503869019658216,2.3288267277911556,2.837483224241068,4.637818361518756,3.1469137331976897,2.6449960360357503,3.2436785473359278,3.711771656661842,2.911376180387092,2.4559378740989084,3.274032641826996,2.725190223194498,3.7334563770023363,3.86159047877661
140,4.319348132762689,3.64012058607587,2.8849763183255517,4.435974635492502,5.044724284006806,3.271435880697022,4.494542577879466,4.560795299304086,2.803977931740996,2.97923152279898,2.431339519836894,3.466034249005608,3.287528135893664,4.261028330704116,3.725243064344464,4.431115788637294,3.47800391257677,2.3844772569907082,2.803398505558018,4.6390649768114205,3.0748401279771542,2.593541839832394,3.3327778690135395,3.803131632747744,2.860359542896396,2.535398285871084,3.599155567829378,2.7562528232726202,3.8793812875124205,3.857832431960484
145,4.5046037592475106,3.8636745877992924,2.9552038597275603,4.45378001819365,5.155272597312072,3.171075481649678,4.439321891699244,4.49325577256359,2.6319472382386655,3.0066930388892876,2.617349001267404,3.5515089866141336,3.3441265551735,4.320743728301115,3.8240930744591966,4.418812215849558,3.379746181742392,2.540203517641512,2.867057758825286,4.523966981984058,3.07728752740152,2.572148527851252,3.157481479625104,3.8727584624143945,2.914976601248708,2.3442956454297397,3.534913336753834,2.715807433412312,3.748474149387566,3.9270561881152117
150,4.270417828534718,3.804849301325084,2.865079702685088,4.470031431569084,5.202998824959058,3.2386119071107458,4.556904135348335,4.48986048790591,2.7618154014270457,2.971127746688056,2.545498026032632,3.3314576160347578,3.284120165264002,4.377919888709116,3.7401996089091925,4.45435740446323,3.400828994193902,2.3818573074359497,2.82050041326662,4.539064527251112,3.109837258774104,2.585838265550972,3.188646643140384,3.9179025745002165,2.921144972116604,2.73360703548755,3.4493352718122336,2.67611782646473,3.8374741107755463,3.871387146837658
155,4.407513900641976,3.75456041984066,2.9440518474683097,4.5031545752887325,5.128671723444176,3.3517034519402578,4.58134990611863,4.70486289176473,2.759454900240922,2.928860586213752,2.596625791379082,3.5000004292440736,3.208246652557912,4.469080170998536,3.689332052871342,4.522871438724517,3.4843769929377624,2.3710824371647137,2.707988417518376,4.591538098688786,2.818857983419212,2.61850584305712,3.2406060878185157,3.85911503372754,2.9038322773207144,2.488827982564994,3.6203324252752638,2.75206814540052,3.7938310390046603,3.754177136157614
160,4.494363607165544,3.7047759605528916,2.89581800845228,4.508255416271156,4.813073288182626,3.3109460144555123,4.491017005924028,4.651696908565686,2.668027197426554,2.9469855702373,2.57201981255022,3.54854991598648,3.2376872409707844,4.449950377249138,3.6972288678086103,4.5868957286786145,3.419689751359896,2.372666781573416,2.861459134910298,4.764475861433266,3.054958681407722,2.7231136515144803,3.1373411243200158,3.91074377373209,2.954233960906356,2.485807851224636,3.4537741689450883,2.7376665081355243,3.844222735222094,3.909352361877042
