t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,V'O2_filtered
0 days 00:03:18,,-,1.6526500985211,28.5925622581506,1.53466636479527,-,32.1470346612039,0.928609368775998,50.84,60.44876,16.321183580616,8.44760652013826,488.271656863991,361.050958712329,82.6665736156118,87.8469485918076,8.89844710609385,1.6297792184050912
0 days 00:03:19,,-,1.92913934594787,33.3761132516932,1.71000083528467,-,31.2955049757362,0.886406074748569,53.57,68.08747,16.4673493992214,9.75990029576737,564.122237095354,339.340393037711,172.773790602365,82.5645725152581,18.597824607359,1.8714383904602345
0 days 00:03:20,,-,2.07288977712115,35.8631449328919,1.84416845040102,-,31.3916835898395,0.889660642237434,46.15,71.7171,16.6299555014264,10.495531120766,606.641698780273,371.430693662354,179.327555038554,90.3724315480181,19.3032890246022,2.048120727109198
0 days 00:03:21,,-,2.07288977712115,35.8631449328919,1.84416845040102,-,31.3916835898395,0.889660642237434,46.15,71.7171,16.7984670844209,10.495531120766,606.641698780273,371.430693662354,179.327555038554,90.3724315480181,19.3032890246022,2.113543978398216
0 days 00:03:22,,-,2.08530147268125,36.0778801501947,1.85283972651236,-,31.9407533503339,0.888523674291564,44.11,72.95794,16.9674595494401,10.5554333798995,610.104049358193,371.263419532229,182.622570363656,90.3317322462844,19.6579731284882,2.1116099107513646
0 days 00:03:23,,-,2.12067387254575,36.6898593866047,1.86774110051291,-,32.0985988846484,0.880730000351628,48.38,75.03738,17.138205671808,10.7139797870308,619.268031690381,360.891410042307,201.204950583338,87.808128964065,21.6582293415865,2.107931466434017
0 days 00:03:24,,-,2.17917904950787,37.7020596800669,1.93833140584046,-,32.026776329261,0.889477808754722,51.28,77.1764,17.3127872353504,11.0332045988763,637.719225815048,390.074288406684,188.896013576871,94.9085859870278,20.3332630330324,2.1246303510783915
0 days 00:03:25,,-,2.08801781294166,36.1248756564302,1.89646373476514,-,30.6204284291641,0.908260323743761,48.0,70.848,17.4866167902923,10.6203039751988,613.853569766492,413.311093496408,144.251186447427,100.562309853141,15.5275765820696,2.140524383348075
0 days 00:03:26,,-,2.08801781294166,36.1248756564302,1.89646373476514,-,30.6204284291641,0.908260323743761,48.0,70.848,17.657131670783,10.6203039751988,613.853569766492,413.311093496408,144.251186447427,100.562309853141,15.5275765820696,2.1287558144774277
0 days 00:03:27,,-,2.19087639103967,37.9044358311362,1.97835693115221,-,28.1939685199161,0.902997968869156,42.25,67.8535,17.831731636643,11.1291727409318,643.266184425856,422.043266963445,162.158642661094,102.686926268478,17.4551822024859,2.095398443011816
0 days 00:03:28,,-,2.10301425040536,36.3843295917882,1.8955355393683,-,28.5276240940527,0.901342222955902,44.44,66.39336,18.0067990509816,10.6785328514131,617.21919881168,401.605858072314,158.917758959838,97.7143206988597,17.1063249687662,2.096854338403478
0 days 00:03:29,,-,2.10301425040536,36.3843295917882,1.8955355393683,-,28.5276240940527,0.901342222955902,44.44,66.39336,18.1782488284293,10.6785328514131,617.21919881168,401.605858072314,158.917758959838,97.7143206988597,17.1063249687662,2.2005533080882866
0 days 00:03:30,,-,2.42026634500404,41.8731201557792,2.1793828231297,-,28.0879210423788,0.900472308607039,42.25,74.06425,18.3626097440754,12.2868407238864,710.179393840632,460.066979818307,184.863969574091,111.938437911997,19.8992432264899,2.39789908578706
0 days 00:03:31,,-,2.59992699480164,44.9814358962222,2.34797814060482,-,27.8266351880852,0.903093873520074,40.26,78.14466,18.567271599365,13.2073696236062,763.385964244436,501.092922738276,192.201089667904,121.920419157731,20.6890301041877,2.5717353397153953
0 days 00:03:32,,-,2.59992699480164,44.9814358962222,2.34797814060482,-,27.8266351880852,0.903093873520074,40.26,78.14466,18.7793232560996,13.2073696236062,763.385964244436,501.092922738276,192.201089667904,121.920419157731,20.6890301041877,2.594721275931714
0 days 00:03:33,,-,2.47760886419057,42.8652052628127,2.34794800785968,-,29.4829587735852,0.94766693879534,36.36,78.28308,18.9874864863445,12.7229981577669,735.389293518924,588.900277016442,79.6946636109959,143.284738933441,8.57854290753455,2.4720637890352206
0 days 00:03:34,,-,2.47760886419057,42.8652052628127,2.34794800785968,-,29.4829587735852,0.94766693879534,36.36,78.28308,19.1917612900997,12.7229981577669,735.389293518924,588.900277016442,79.6946636109959,143.284738933441,8.57854290753455,2.3558486809522514
0 days 00:03:35,,-,2.00887224639739,34.7555751971867,1.90569145780362,-,28.3741288686828,0.948637456274877,30.0,61.32,19.3767322248409,10.3183639553184,596.401436617404,479.453130878282,62.7907170740462,116.655262987416,6.75895770441833,2.388702288137136
0 days 00:03:36,,-,2.86427755752778,49.5549750437332,2.61038635612471,-,26.4622120160102,0.911359427882327,47.61,82.65096,19.5766076458886,14.5796123689674,842.701594926317,575.920093072643,189.562870324772,140.126543326677,20.4050452448624,2.551101480369362
0 days 00:03:37,,-,2.71176374855716,46.9163278297087,2.522924977215,-,27.3649207234528,0.930363118305332,42.55,80.3344,19.8049724962463,13.8672202015415,801.525327649099,597.229828277417,131.18851812158,145.311393741464,14.1214766546373,2.705691399631549
0 days 00:03:38,,-,2.71175749931415,46.9162197113174,2.52291921765147,-,27.364983785891,0.930363138403623,42.55,80.3344,20.027618164593,13.8671883122256,801.523484446642,597.228506934238,131.188164736894,145.311072246773,14.1214386153815,2.7765077524401525
0 days 00:03:39,,-,2.77002994803982,47.9243935647028,2.62451429495662,-,28.7788007694327,0.947467841210104,46.51,86.41558,20.2531276009117,14.2239525440908,822.144457048451,657.849302451623,89.6173632216332,160.060657530808,9.64664835539647,2.814722173207931
0 days 00:03:40,,-,2.88115856364539,49.8470339731037,2.87652180698095,-,31.0607861466574,0.998390662449839,45.45,96.03585,20.4870728080104,14.9180109699278,862.261034061826,784.587304112797,0.0,190.897154285352,0.0,2.879679936977716
0 days 00:03:41,,-,2.95549278370166,51.1330931436273,2.9921840242845,-,32.3951763739663,1.01241459318905,47.61,102.59955,20.7296795443018,15.3028973570336,884.507467236541,804.829746182172,0.0,195.822322672061,0.0,2.932966846543229
0 days 00:03:42,,-,2.95548684799216,51.1329904496914,2.99217814075707,-,32.3952414354489,1.01241463577814,47.61,102.59955,20.9753758162544,15.3028666232238,884.505690822333,804.828129789943,0.0,195.82192938928,0.0,2.899342085893755
0 days 00:03:43,,-,2.78888835678476,48.2506636121932,2.89630037143921,-,31.3586701264821,1.03851427555109,40.81,93.33247,21.2141469947141,14.44025595307,834.646794087446,759.460595099214,0.0,184.783599780831,0.0,2.792199807490965
0 days 00:03:44,,-,2.64694343410018,45.7948691020792,2.83710083403189,-,34.4090919460703,1.07184037160823,51.72,98.5266,21.44009323192,13.70529608642,792.166113795078,720.806636366485,0.0,175.37874364148,0.0,2.714926237128839
0 days 00:03:45,,-,2.68031934853352,46.372307068054,2.8643302736263,-,33.7517094929364,1.06865261230661,53.09,98.11032,21.6615266806816,13.8781092956375,802.154717287848,729.895451906863,0.0,177.590134283908,0.0,2.73213098938787
0 days 00:03:46,,-,2.88430348533989,49.901444383043,3.08406302732308,-,34.3499532915223,1.06925746302306,56.07,107.14977,21.8928262571129,14.9342946888907,863.202233017883,785.443718495908,0.0,191.105527614576,0.0,2.7911031757044658
0 days 00:03:47,,-,2.88430348533989,49.901444383043,3.08406302732308,-,34.3499532915223,1.06925746302306,56.07,107.14977,22.1326046551734,14.9342946888907,863.202233017883,785.443718495908,0.0,191.105527614576,0.0,2.802406247617059
0 days 00:03:48,,-,2.63630278827885,45.6107748837172,2.84446521605292,-,33.6525836085471,1.0789599846799,45.45,95.2632,22.3620746355932,13.6502011419444,788.981626004384,717.909011874617,0.0,174.673725516938,0.0,2.759461073219527
0 days 00:03:49,,-,2.66826616949344,46.16377455871,2.89482652882366,-,35.2798536653753,1.08490920505627,54.54,101.9898,22.5825647909394,13.8157005620776,798.547492488085,726.613171171477,0.0,176.791525832476,0.0,2.7311078852626753
0 days 00:03:50,,-,2.92550711862689,50.6143100108458,3.17457459445694,-,35.5147657438502,1.08513651333959,54.54,111.75246,22.8150760375812,15.1476381199439,875.533483332756,796.66415182027,0.0,193.835560053594,0.0,2.7591332754761275
0 days 00:03:51,,-,2.72554890851479,47.1548254068303,3.00154322588584,-,34.974606290204,1.10126192067544,50.84,102.64596,23.0499683033267,14.1122980974895,815.690830034891,742.212211900459,0.0,180.586912871158,0.0,2.812452896528179
0 days 00:03:52,,-,2.82162736520215,48.8170824429437,3.17774063645409,-,35.6535846088921,1.12620846949662,46.51,107.29857,23.2805426945847,14.6097714017779,844.444787022765,768.375970558807,0.0,186.952790890221,0.0,2.834969806442427
0 days 00:03:53,,-,2.82162736520215,48.8170824429437,3.17774063645409,-,35.6535846088921,1.12620846949662,46.51,107.29857,23.5151106909799,14.6097714017779,844.444787022765,768.375970558807,0.0,186.952790890221,0.0,2.8063688658193797
0 days 00:03:54,,-,2.80223330912935,48.4815451406463,3.11135440176146,-,33.9162694592083,1.11031240390478,42.85,101.2117,23.7488725524242,14.509353207203,838.640615376335,763.094647148855,0.0,185.667797359819,0.0,2.7621943819222
0 days 00:03:55,,-,2.78634987804732,48.2067452949364,3.09704230298945,-,33.9558218246105,1.11150517291097,42.85,100.7832,23.9811680668976,14.4271122635383,833.887088832515,758.769325200261,0.0,184.615407591304,0.0,2.765515618505401
0 days 00:03:56,,-,2.66945445919843,46.1843332041252,2.93819623213195,-,36.6808430324008,1.10067291914551,50.84,105.2388,24.20794448463,13.8218532671311,798.903118840178,726.936762183756,0.0,176.87025843887,0.0,2.8384208877955337
0 days 00:03:57,,-,3.02644567436335,52.3606518055943,3.3792584493052,-,36.1392510450425,1.11657660929799,49.58,116.513,24.4447007442399,15.6702759576407,905.741950351631,824.151396127334,0.0,200.52345404558,0.0,2.918816907737136
0 days 00:03:58,,-,3.02644567436335,52.3606518055943,3.3792584493052,-,36.1392510450425,1.11657660929799,49.58,116.513,24.6962957304487,15.6702759576407,905.741950351631,824.151396127334,0.0,200.52345404558,0.0,2.9202493156898806
0 days 00:03:59,,-,2.762426854913,47.7928521611246,3.09372431627827,-,35.5757184394644,1.1199298583331,43.16,104.49036,24.9369164884067,14.3032440648023,826.727506945572,752.254688878601,0.0,183.030337926667,0.0,2.8373866516261397
0 days 00:04:00,,-,2.61116663047155,45.1758932607535,2.91755352814942,-,36.9002188047263,1.11733716803149,50.42,103.6131,25.1602757230196,13.5200515963266,781.458982267678,711.064018843469,0.0,173.008277090868,0.0,2.7491227960230242
0 days 00:04:01,,-,2.85400107342963,49.3771812012046,3.21381626424253,-,36.7340296316063,1.12607395076433,52.63,112.41768,25.3874413392306,14.7773954057355,854.133454451511,777.191868712707,0.0,189.097778275598,0.0,2.7166463337530713
0 days 00:04:02,,-,2.76239317306331,47.792269430161,3.11624237027675,-,36.6505973831842,1.12809516062518,50.42,108.50384,25.6208928505132,14.303069667527,826.71742678306,752.245516751811,0.0,183.028106265647,0.0,2.729698004622793
0 days 00:04:03,,-,2.70383686440459,46.7791845052698,2.99572351157008,-,37.5448501854621,1.10795275817417,53.57,109.22923,25.8481026237698,13.9998778661622,809.192940664176,736.29966186932,0.0,179.148336221246,0.0,2.7543854169706767
0 days 00:04:04,,-,2.70384257438092,46.7792832937875,2.99572977933329,-,37.5447708982256,1.10795273649362,53.57,109.22923,26.0728786779623,13.9999074311749,809.194649521908,736.301216790658,0.0,179.148714547605,0.0,2.7761058852225213
0 days 00:04:05,,-,2.87937300279179,49.816141916813,3.24345080786367,-,36.4441216536571,1.12644343220516,48.38,111.90294,26.304951081911,14.9087657250677,861.726658908915,784.101066252051,0.0,190.778848236509,0.0,2.783961582439449
0 days 00:04:06,,-,2.76368356556328,47.8145945599183,3.08181648055457,-,35.3438147612574,1.11511191764331,44.44,104.07848,26.539510841486,14.3097510385952,827.103610030803,752.596912050069,0.0,183.113603905126,0.0,2.762224069837632
0 days 00:04:07,,-,2.64876683407341,45.8264158144188,2.96244266008156,-,36.6503380936359,1.11842334401544,47.24,103.88076,26.7644852058348,13.7147372539928,792.711813280786,721.303178447635,0.0,175.499556799911,0.0,2.717709420999656
0 days 00:04:08,,-,2.77858149571803,48.072344216575,3.10200540904692,-,37.5104851740425,1.11639893011139,54.54,112.0797,26.9900788187899,14.3868892732908,831.562199996211,756.653865736849,0.0,184.100697259574,0.0,2.6873578906364792
0 days 00:04:09,,-,2.59398513673214,44.8786355836011,2.86458985563602,-,37.6688550047347,1.10432007303048,55.55,105.71165,27.2133953711482,13.4310895671907,776.316976983621,706.385212885432,0.0,171.86988148064,0.0,2.700601387693742
0 days 00:04:10,,-,2.80683648723507,48.5611849002607,3.13187820935106,-,37.6788460891712,1.11580358299966,58.82,114.22844,27.4378863728385,14.5331874599734,840.018235186464,764.348168959797,0.0,185.972790501167,0.0,2.745052157601577
0 days 00:04:11,,-,2.80683648723507,48.5611849002607,3.13187820935106,-,37.6788460891712,1.11580358299966,58.82,114.22844,27.6712247715014,14.5331874599734,840.018235186464,764.348168959797,0.0,185.972790501167,0.0,2.779647430298651
0 days 00:04:12,,-,2.72180103845787,47.0899833643231,3.02123973639382,-,36.4794665727132,1.11001491060698,54.05,107.07305,27.9010285796142,14.0928924433445,814.569183225311,741.191604669318,0.0,180.338589943873,0.0,2.77570563999691
0 days 00:04:13,,-,2.748579026889,47.5532703614014,3.02132615682836,-,36.0093775844696,1.09923204945941,48.78,105.99894,28.1284108532754,14.2315430300247,822.583187135427,748.483695433721,0.0,182.112821273411,0.0,2.737119569337464
0 days 00:04:14,,-,2.70625737412602,46.8210618360903,3.02013140907568,-,37.166834522708,1.11598085161838,46.87,107.3323,28.3551470376897,14.0124107378454,809.917340647464,736.958806846926,0.0,179.308712128206,0.0,2.6882933999912098
0 days 00:04:15,,-,2.65216169050483,45.8851503547548,2.97301337931806,-,37.8655495852836,1.12097742379808,49.18,107.50748,28.577875531065,13.7323150805395,793.727811655185,722.227654208527,0.0,175.724490075067,0.0,2.6557795183689983
0 days 00:04:16,,-,2.65216169050483,45.8851503547548,2.97301337931806,-,37.8655495852836,1.12097742379808,49.18,107.50748,28.798355478747,13.7323150805395,793.727811655185,722.227654208527,0.0,175.724490075067,0.0,2.6563063214452383
0 days 00:04:17,,-,2.66166614496182,46.0495872830765,2.99387022800475,-,35.5846281395139,1.12481057538781,45.8,101.3096,29.019230489375,13.7815270738125,796.572264866365,724.81587493111,0.0,176.354227477156,0.0,2.686723886689995
0 days 00:04:18,,-,2.7540953991489,47.6487093278357,3.07275030525029,-,36.41051070017,1.11570220341672,49.18,107.35994,29.244342485031,14.2601056030555,824.234103856608,749.985895171873,0.0,182.478319993156,0.0,2.7252825940318988
0 days 00:04:19,,-,2.77621257775845,48.0313594767898,3.07647577587689,-,36.3698085690271,1.10815569402862,51.28,108.35464,29.4742157272581,14.3746235325039,830.853240178723,756.008770052417,0.0,183.943739672121,0.0,2.7528594050339326
0 days 00:04:20,,-,2.72082156485329,47.0730374542092,3.04051063539426,-,37.585191664531,1.11749725695746,54.05,110.0458,29.7027059065161,14.0878209425384,814.27605047872,740.924877747527,0.0,180.27369288261,0.0,2.770791265809706
0 days 00:04:21,,-,2.81162044990403,48.643952420485,3.16500533281961,-,37.0391672188736,1.12568726441282,53.57,111.85416,29.9326678523383,14.5579577758026,841.44995944139,765.650921408337,0.0,186.289761899839,0.0,2.7887347600890102
