time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
50,3.512325066237021,3.418507464849116,2.7824093753382724,4.168815610643861,4.423625554283854,2.9534166598311535,4.082406834139822,4.081081327473736,2.8368370041817035,2.7345925636406117,2.2453370269868995,2.919762586613463,3.0964337418149603,3.724825059787093,3.5265284339119294,3.858784943196341,3.170173925815228,2.7164178995030497,4.058741850199943,2.8166820733263873,3.1285318264452253,2.8927583053194756,2.369258752110623,3.3031606334398345,2.665774442200373,3.326553640732057,3.222361624633479
55,3.6633573284540306,3.44900125851846,2.852968463586258,4.273092762716867,4.45719914131064,3.0243091466855394,4.078784485739068,4.2089090351231215,2.809518976473691,2.788110178343242,2.2926635659428336,3.1028617828711913,3.178485835377026,3.755798389745701,3.5931785427605596,3.808072457583982,3.216794110685154,2.7340827849517124,4.164782850791113,2.853082419597422,3.205777096171239,2.9768869990806244,2.4219087084702986,3.3492749154879418,2.6995219917027287,3.415519312800858,3.2559820151295518
60,3.8268552615148272,3.4685672139239854,2.8828458201453797,4.336119521182931,4.480232884465524,3.0996141704828792,4.077127622269739,4.272726675778848,2.7931681243877766,2.8224060108151394,2.2879816841885336,3.2232954438413186,3.2299470402307344,3.761692828763575,3.6713745818074717,3.8905312427634713,3.270493378757989,2.78721064760177,4.217693295145909,2.933355992118951,3.2391851721720597,3.1174364531988994,2.40443302042245,3.390535619702318,2.7049372809736836,3.4593790339673824,3.295243297203922
65,3.9521397376102203,3.503421243516519,2.885079326286108,4.399355040149737,4.531143094848878,3.120128821616661,4.114773595576926,4.306601281577154,2.7724063826056646,2.8478559222146274,2.3636387171828668,3.2079519152989557,3.284758832511085,3.7481691670320187,3.6839217047539137,4.0016379029541795,3.311693029000483,2.8508822023249714,4.265209908793621,2.9451975696945327,3.2341566782989526,3.1307959957386537,2.447602050024822,3.4474452960832953,2.732512539091955,3.5028550682358386,3.358173954896834
70,4.0142363450876015,3.5309146480401616,2.8974040084005788,4.433258131785374,4.650920578831422,3.1395959725774847,4.19435820237105,4.349020058390389,2.7396378584826433,2.9021814678630364,2.371048814151187,3.1036382563947047,3.285931791191436,3.8523535567539957,3.6919319380886026,4.130559030357221,3.2999443369283323,2.8494900487562744,4.332255156120502,2.9920337827444934,3.243298697200455,3.0808301731351113,2.460788685539049,3.5126594052886637,2.7382452654227856,3.5537344116948617,3.404696244462228
75,4.115960826825287,3.540118825282689,2.892521683617242,4.440596213309421,4.765458261254792,3.13858654706588,4.226569591499596,4.4108012316507965,2.7198321848551723,2.920873324378081,2.4303066989803117,3.134754500923113,3.291405289208037,3.9410543193523386,3.7184337537699323,4.193235968338719,3.3494072942987314,2.840916160323667,4.395445929965474,2.868470634231087,3.2829061404288695,3.0988334380404594,2.436482688409406,3.5183867720801976,2.7635987169802627,3.58489518799516,3.5222756049105826
80,4.152533538734587,3.6439660778584333,2.8812655091791473,4.412718229256611,4.763233853027077,3.1182459868522625,4.334520658314979,4.4402694185664995,2.734287010438869,2.929529008172855,2.409107024661112,3.085914732911491,3.22555553030449,3.98097660827527,3.731339094482932,4.2425497127491365,3.4670998650451677,2.835035611673538,4.469875575922738,2.8978689668241397,3.2881118308339317,3.16909040424237,2.4280663431855634,3.5554571532439527,2.743851805473432,3.5849422445965304,3.6192046799615456
85,4.1668934232283465,3.7097461978370854,2.878115776565103,4.42582672578038,4.808592694146967,3.130468874640679,4.3727213146547035,4.4058619857459975,2.762687312228202,2.9399394469972675,2.4744620753770024,3.2383930867330593,3.1742956957734365,3.9786302406981204,3.704257039258318,4.260091277058247,3.51338553306765,2.856218104220177,4.484737138676747,2.9103087594154142,3.282633509413063,3.2725096082336766,2.4463195725874423,3.5487213656315455,2.7274156023230116,3.617084189874638,3.657215830666085
90,4.19614307065633,3.703354068890559,2.8677112615466305,4.460003326416322,4.772751575902065,3.143903670826567,4.359567687327233,4.351835464293363,2.7924791991338616,2.941983301333905,2.498309734299684,3.3418632754556272,3.1789931303627204,3.982315214082129,3.727176889872735,4.235056006110233,3.504669249846407,2.8506002741608314,4.4734620930357245,3.032826883811221,3.270456503790947,3.4041035239589976,2.423892278027561,3.5166408469663253,2.6894727998171097,3.633752390546705,3.618502049355185
95,4.200033080731397,3.653670437821373,2.8670342205073305,4.502671792992328,4.762096619477334,3.117222165185191,4.320238386499611,4.315493667820264,2.813742350739805,2.9465123166075475,2.5580998925796723,3.3103787756009733,3.218616738040305,3.959712554929629,3.727465451108594,4.277613469853766,3.470335135644536,2.8281487872652797,4.468996323551832,3.067000359680933,3.2453154454659456,3.4872361613518037,2.428196715583206,3.5710169892911905,2.6966697641991653,3.6853091325776735,3.5954944082273426
100,4.1970927045595605,3.5920486469749546,2.8722074821948183,4.482191539086693,4.81995351452701,3.154697394496018,4.296975785099874,4.358416488935814,2.7998778533054853,2.9648279142894403,2.503934801009591,3.334129528289619,3.254315212015573,3.9860738934798805,3.744259028246518,4.292123059275342,3.370407391463847,2.8098885761565957,4.505766564348228,3.1093551559634935,3.22897297133353,3.452260085141799,2.4430836370427276,3.6187991468987777,2.6735152875387285,3.7032972969121127,3.6247816650993427
105,4.205106380940262,3.597107709177173,2.871446956745098,4.552584003785653,4.8601148088006525,3.192635028099579,4.3295725136986105,4.425257428442655,2.799214739246498,2.9305325145143737,2.505973208595837,3.448859070453558,3.2788279205874264,4.044999363068905,3.7750581870148907,4.347607506530953,3.373055949359441,2.8314157692804898,4.539296206264268,2.98844886828604,3.2480026689262647,3.496283933930529,2.4507945521121792,3.559561208110739,2.6900519186011,3.7146764147633533,3.634856548682308
