time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
50,3.7252774536062057,3.6120181625643184,2.9799514418492095,4.4379530220284185,4.328714710336662,2.8363818465470785,3.980784068632407,4.272256079431331,2.8562488085755704,2.8554051472353716,2.4129708943568935,3.3014979342235464,3.153815598357033,3.5599027330616466,3.643532956946466,4.560798189901057,3.2221441715468835,2.875862658164837,4.432856899487093,3.081830284483351,3.106302548744274,3.077234923248485,2.419574632908006,3.4915581753363667,2.8317882094367506,3.419576710868982,3.550303429517212
55,3.867362239335185,3.7099878588593507,2.9985447442341244,4.585398430851733,4.409019487806315,2.967737439352179,4.069180906905173,4.32104420822275,2.9110229161849457,2.888948749728491,2.4433787575099863,3.306253715050811,3.223527800074014,3.6898456417794865,3.726421706946377,4.7176942973353455,3.271837586734087,2.9241601913731574,4.493804889162409,3.1838035273089895,3.166527228519372,3.2556693986978194,2.512788862362964,3.5233062321790682,2.8727710692780453,3.526024811379106,3.589364150333092
60,4.001111976275378,3.796626369954663,3.022143914085739,4.735612813383533,4.460709498813301,3.048504246245334,4.188371341257343,4.36237070702375,2.9436729305060902,2.922977348420563,2.462087134393931,3.375097507798597,3.23836167334912,3.7839690797127674,3.8209667876822713,4.844830618169653,3.325049452891443,2.9574939104119875,4.536896231212639,3.244710637203304,3.2145164111109565,3.444031321096338,2.5865753168213503,3.5774607720122713,2.868643825146485,3.6472693791751203,3.677334334164696
65,4.134986528247467,3.835943574301933,3.0601712997855186,4.801883106310135,4.511894814822548,3.0598498554823776,4.294579572130444,4.402221060532403,2.9567947441547613,2.961526438826906,2.4759046170369237,3.4483267106804583,3.2042436156945335,3.8252845016851893,3.9141742188934683,4.9338651958243025,3.3823660915524765,2.9842492161612473,4.55820312653639,3.288254957985242,3.2181610824733395,3.615273703345911,2.5946723996806065,3.640566193167503,2.839937216671791,3.7324044652000614,3.7879591954176806
70,4.256802576072115,3.8309995051194106,3.101155594951686,4.764804639346041,4.5578133420558755,3.041347505070792,4.355838642730331,4.4338004588789355,2.9640927964311534,2.9952618986080592,2.503627748331118,3.482895845873148,3.1693406562376727,3.8889248991118754,3.9773595483940976,4.989880405337907,3.4134632145219737,3.009312114896997,4.577075923072498,3.3449650003821483,3.1865993604926737,3.7362935871342984,2.55698349547643,3.6978877369510306,2.813617264212311,3.7615534460105025,3.8904112931689094
75,4.345670812996321,3.82410473649238,3.1235421386997286,4.708543763003255,4.589765184212936,3.069352586479201,4.37834923350298,4.440058553535249,2.9696793021391112,3.0149829696096075,2.5523011059315333,3.5166888816032014,3.182227833577307,4.028578542846826,3.9872305049095615,5.004576578458184,3.4070586949372994,3.0299452668827267,4.613689751994754,3.4157022472908944,3.1626586596541797,3.7889650937349884,2.515567853628639,3.7446188843998978,2.799915100376268,3.7648390474434335,3.9693689635956497
80,4.4006718867493575,3.8387387753578937,3.127350532959847,4.723885558864831,4.629695195160932,3.1657752664732492,4.398529432396413,4.426963195447469,2.974134751920737,3.020736370594864,2.603807847570092,3.5807240600099917,3.245895416277999,4.190782199764028,3.9578158874075497,4.984113880647313,3.3914460397184163,3.0322139051271533,4.658931087169803,3.4608119684351633,3.1735517612993216,3.7977147656250145,2.483554535057809,3.779102273544681,2.790379556347048,3.7752743784678784,4.028793805423675
85,4.4425977657265685,3.850532099720458,3.1344141881348384,4.801588450835439,4.6921226585693905,3.2609496176400445,4.448336338844624,4.43663435390269,2.974604673239197,3.0174901054029855,2.6343448114244614,3.6375950685794907,3.309748445631555,4.287847786275145,3.936585307252008,4.9667960203062105,3.397725531419809,3.003715409881705,4.689355049735389,3.44707373529031,3.202624053404647,3.8142036578275946,2.464350817581784,3.800909911714655,2.7753486174118005,3.7943477556380474,4.076933418514846
90,4.484862751594501,3.8383855762151136,3.1554278704650236,4.86086135401131,4.749640819668951,3.282697921245022,4.516986449691548,4.504542426201,2.9638080215499083,3.0085590006013683,2.6391328250629447,3.6541397250929424,3.316962805979704,4.318222152398306,3.950988095457209,4.983858540133255,3.428568205435195,2.9662615832063404,4.70323096692434,3.4030911207237455,3.2113017532488914,3.8565201411033616,2.465623708082658,3.8111181602675805,2.762110035444853,3.812322121956914,4.115585066866173
95,4.524108248675468,3.8227264161420775,3.1758347970658787,4.863129948533869,4.771671952884646,3.2383796820302,4.5593407510957595,4.592243575618748,2.949547979897656,2.997688128303162,2.632590908609354,3.657077566864801,3.2686150090423727,4.347876027682008,3.973431821592034,5.022845275093051,3.4665887425831983,2.9658338016577535,4.717991349797792,3.3985887357209728,3.1802812639572924,3.8909524215180062,2.4769940776563297,3.8144460694061473,2.7654418056829977,3.8323987479062533,4.138379381868108
100,4.55459757479355,3.8292412622815135,3.1785445046300524,4.8489313573696124,4.763614485766979,3.191087780737046,4.5523195284321885,4.602834228516631,2.9582031048023287,2.9935781053341084,2.631209302701882,3.6785422058887884,3.2203782093933446,4.402211013468808,3.959608562417782,5.048798448223822,3.4945126050771904,3.008293391683553,4.743904895359113,3.4609081222508853,3.1320942877324742,3.8934944805518867,2.477583547240916,3.8171686378776366,2.7823684520449357,3.862873069597104,4.136474954141638
105,4.5743628803681755,3.852299735034628,3.168436342385338,4.861974709015814,4.739719788273313,3.18901659183054,4.5225727918197265,4.510805036528027,2.9963907137806065,3.003515883446608,2.637156418298397,3.70981953904686,3.2136548966756475,4.451239244733616,3.9156771249781666,5.0461239664091515,3.499900008546686,3.0417100596955233,4.775905130251398,3.5477267572475824,3.117556777975308,3.896525436874436,2.4661161679197354,3.819618326400039,2.7954062203722643,3.9007349169948964,4.113245782664955
110,4.589473433978049,3.868740837348429,3.1675505278231286,4.890728393525988,4.693851633136665,3.2243323504664643,4.5102893289462545,4.427800898568257,3.0299816787032396,3.020144411083755,2.6329435458807873,3.7288004745671923,3.240005595790159,4.474362335004437,3.90714868818245,5.027734072328215,3.481605483386892,3.028138716469462,4.799928401021671,3.6055923338250824,3.1651134807245453,3.940140618948022,2.4569139885605065,3.821814853772685,2.7972709772313697,3.929986198831892,4.091253085090052
115,4.6136411154533965,3.8607718346773274,3.1884631306121665,4.902847768385503,4.636065802145289,3.2481174147368255,4.529279130655734,4.461580812448653,3.025820244739237,3.025078835212277,2.604257890704547,3.7302121320611783,3.2727640680125325,4.476784757910098,3.978092661068465,5.0085368554616,3.4643834887371647,2.9932976594110863,4.804815983212122,3.6184301672431194,3.23600198534771,4.001828558551656,2.4559406641496713,3.836959272515171,2.7922274346441815,3.9373290684363065,4.0951350964660085
120,4.646602191659474,3.8262042906382083,3.217820707870575,4.88975301379949,4.623815627324605,3.2263830777548055,4.569535643187065,4.558784660626221,2.9964923997305903,3.0109517654732487,2.5754099676570172,3.72781763782173,3.300881293320259,4.468331658671086,4.072461875217125,4.982305931250506,3.481418931931438,2.9760152349479423,4.796896512464027,3.6086164399965943,3.252202317973355,4.025820020510091,2.4566126595611717,3.8782643212813412,2.7829946604159845,3.9301657230364966,4.126333175220816
