time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p40,p42,p43,p44
85,4.47023750349343,3.9408798781213363,3.110998317555174,4.814556827704825,4.697023996792391,3.20505653044559,4.4234200694301,4.40700283419424,2.9540141939889857,3.031724357377326,2.6708347721675922,3.684930057898832,3.3451514337441557,4.273772891422614,3.85198044541589,4.917868876247161,3.337704483933918,2.537913259196156,3.035241396871596,4.69776261873944,3.447719891075688,3.342678222682294,3.2134579948594335,3.7928258596643842,2.30231528103372,2.480567885482656,3.8179115342450642,2.780473521948204,3.839551436067802,4.096381968387252
90,4.481510487466582,3.7644396803660145,3.1822315158637418,4.9191041042809305,4.7593743796414305,3.285862201612492,4.518525173835958,4.4207253549964545,3.029263849051072,2.994053143311672,2.60009084988152,3.661744578991926,3.355885432009694,4.287542469889976,3.9899505085943003,4.983227415925736,3.4698866177484162,2.4730411614746624,2.952241984272498,4.652277627359496,3.4870556533691457,3.339555017422952,3.197679953235242,3.822148498313878,2.3846375380523517,2.37870902505632,3.850813439330602,2.774803269923538,3.776979926744354,4.059703120294456
95,4.574088643791078,3.8311105099972935,3.154166440576296,4.8726382424617665,4.828844999133382,3.252365994068674,4.61968748602865,4.612013349455456,2.912275262460974,3.0163027318948776,2.653510270295366,3.525009208708102,3.2453291202834236,4.239184828726546,3.969148308207432,5.073029469494527,3.484425684897252,2.401519555122336,2.912835256957478,4.74543340660838,3.1739526269199763,3.378043386176376,3.201107450663246,3.98145809272235,2.462063060199616,2.603996161493588,3.754987099004854,2.695622354903262,3.835326151453838,4.205739125076076
100,4.4382375121315985,3.8136421487796044,3.2169612716834157,4.743492576965911,4.670301206156658,3.16494822709144,4.513183098900576,4.6656836301134685,2.9564000244216557,2.989562639219894,2.638739539944676,3.799557831710824,3.169320603895578,4.554603282921557,3.978708945376556,5.004364006722752,3.42806389879705,2.521014707996998,3.011984319553752,4.76579132435903,3.666246478239926,3.3894891222421917,3.129746244831912,3.870984733286844,2.557735664023508,2.392930805921026,3.8567101256717202,2.85880975218661,3.8824316672305477,4.070815050648451
105,4.708835686938672,3.9069619115674916,3.132244195643366,4.910068759009173,4.74179038296303,3.1843599930577042,4.519269586787754,4.606714154578328,2.9501035841781844,2.98234482151673,2.598980933895162,3.6967575825771597,3.251303405476888,4.413178082068308,3.919969137986924,5.06802429226902,3.550705899933926,2.509029163955924,3.097474923729628,4.712038139654268,3.47416727280408,3.3578278010166343,3.13068874612861,3.8761864945010003,2.441541896450138,2.506598192076902,3.7979936495798903,2.7774287005804856,3.8664877936232402,4.18969970268033
110,4.524947502034619,3.8082666947167083,3.1923081851087938,4.94251212057396,4.779263296344268,3.2319239661323302,4.500692319920797,4.267616262286246,3.1183694444088657,3.028502774533618,2.64271246166754,3.6529098474693718,3.2610206457137623,4.411844380017402,3.9590011072090916,5.070854186742522,3.4922959961394056,2.4411097043390537,3.062736491136326,4.865966766755478,3.5880972920031757,3.2982049237914297,3.08324554223368,3.899746654884308,2.5579776996342938,2.420706061149532,3.831290789723294,2.7722851039062,3.9465329295467244,4.02652080434901
115,4.585375284281914,3.881278393542132,3.150407010422744,4.843255160846744,4.590404559645663,3.2410839924733734,4.554957431666822,4.369048989096704,2.986488087343584,3.0518490940541616,2.660131910066756,3.8303436339110606,3.2266586838089837,4.532314433417248,3.745390379073816,4.85235049067211,3.456299033285512,2.474691847867522,2.873234034220272,4.776714223125316,3.6533047987306637,3.3117298292150203,3.2961291948003257,4.016716268620132,2.60943240076164,2.49490231167143,3.8968874652453502,2.8077984170604937,3.9654231888483658,4.11909437413656
120,4.6877971640922524,3.860754022756558,3.2565168176632,4.905951873079066,4.658660916244084,3.273634689284286,4.560099546058316,4.731113982108981,2.9969115776205784,2.986130287965442,2.571951246823276,3.6867786386867403,3.360821372973392,4.486694656839324,4.290872965934862,5.1776773008037305,3.4199135744677376,2.491910239186738,3.02023642978997,4.792052926802464,3.639257227000744,3.350354371628746,3.2858480530699503,4.100513328379636,2.463685676884172,2.416618113318372,3.7142678318921143,2.78171149209978,3.9070249291092423,4.116608864362598
125,4.670421015594482,3.757518251520792,3.210092777037038,4.864673744749358,4.546980675684226,3.165460796081478,4.599412830355102,4.643724444313326,2.979493262412028,2.988302588880282,2.457492324619156,3.711031002124338,3.2551103947313136,4.396599090793692,4.120450952821406,4.850619940157436,3.6051235058955258,2.70709214811103,3.035931214520538,4.837455440553078,3.5216116703558242,3.372955852574518,3.127942443760654,4.05663837802322,2.634098363410312,2.489947869360816,4.0915698787190085,2.808061259348512,3.8945267631298046,4.17653775327246
130,4.614451239333732,3.7621831595620683,3.215086122595718,4.85033993478244,5.051294871871869,3.09540068503862,4.6516699291045,4.539116998073294,2.95813747120665,2.9843759842025124,2.76231934130338,3.77635985761233,3.39335813096031,4.522862922018124,3.9362551763442526,4.8570280366047935,3.5281347135810863,2.512555573010998,2.9291374372216503,4.7427532344909,3.662257161861548,3.4586784987880157,3.132318049605052,3.801926634288744,2.598931425170808,2.448651493640314,3.8936044797645457,2.7105394227675164,3.973733462079378,4.155686114657196
135,4.713239037632603,3.8271812980661437,3.1646349755506797,4.7876596455186435,4.891152658771062,3.218226544695566,4.7300994058792805,4.337205194024388,3.0596571291731642,2.980927189039688,2.722079201091096,3.742417732009346,3.322675644722574,4.467236262244584,3.9634639463390995,4.915070259875298,3.610090172105358,2.47836943626066,2.9173796635626603,4.92401151757789,3.729870679530842,3.449797505095616,2.96952328225614,4.32185507248919,2.430659037545814,2.3980361593607418,3.891520073231046,2.864819068184778,3.903799902706748,4.179471450325348
140,4.568341289925164,3.8436901940956902,3.109975104272158,4.815417832950654,5.063367512667984,3.265810629846816,4.568852696025663,4.933747816863631,2.969615493928416,2.9626242679937937,2.590894879215572,3.826245136254056,3.335316378213568,4.542101092617214,4.07885010701472,4.969329394672136,3.5392979254586665,2.596983774768802,3.106266488338596,4.8973727398021065,3.614843440814636,3.466045524616612,3.0020097241557298,4.194738181718931,2.5756737844984956,2.5159920686078925,3.9331384448346762,2.8216084825467123,3.9984835464173414,4.1152636038594625
145,4.618428332102408,3.8875888145206843,3.145747480524468,4.883339213862952,5.076750800051061,3.118010286404542,4.776968207906868,4.705029492965623,2.93073677031387,3.0359895930576863,2.734295593176024,3.5173979013144936,3.2193180035891538,4.539734228952499,3.9834974302987503,4.673241513692474,3.48419185435655,2.5124482931738057,2.9020084016139682,4.879035443444286,3.5545221224202157,3.40035824588979,3.24239551316906,4.149446670204972,2.660677446725018,2.441250583344172,3.850961063730952,2.8554098647095842,3.761874030906408,4.103024399117818
150,4.786773606264078,3.843919904470476,3.0729179746756943,4.828680931555482,5.0809357277914895,3.258841282455446,4.664625403229762,4.645170311594726,2.9286732134341777,3.005454702989718,2.652075844820886,3.6723943209349743,3.3035291324050022,4.567336034774214,4.020390830236274,5.155112341066662,3.545139916401054,2.4075062493301282,3.069958795477446,4.836608942792086,3.6681341095129527,3.424954440132894,3.229722758346508,4.175989265971838,2.462248106422762,2.476317961622212,3.772297901045998,2.843708549278068,4.101319089536497,4.146334254647501
155,4.652724556607666,3.8632415506131537,3.277032456629436,4.781085807860104,5.141381082713966,3.097708342342726,4.775747840975846,4.544342675176722,2.901949248120104,3.00359257736818,2.667255303277854,3.8485259225243262,3.3135247954195663,4.590823325245622,4.004916424918852,4.901953994751854,3.566232057221754,2.519153009462804,3.0222170932901817,4.985895584620962,3.625243849997878,3.436297027165908,3.103569738119328,4.1793658799359985,2.643174311254236,2.401978567998144,3.9839394653437403,2.854620415440656,4.027861224983409,4.126770809803706
160,4.64534216441608,3.7229233334813996,3.210691272645806,4.8056316255135565,4.944266361448735,3.276847570646404,4.6906443229318375,4.704409053380412,2.941988676198592,3.020887418957156,2.60431122209762,3.891865665736624,3.010927958958658,4.706066500024313,3.89922268813687,4.957218841921702,3.5337237586948795,2.47387348278349,3.075262430011062,4.865881571917318,3.6395804176147157,3.4604624101666,3.332093985616492,4.234664862951788,2.57286336926905,2.487927601538536,3.850745809789326,2.87196373409633,3.8207662091798498,4.221780790328734
165,4.583809966689964,3.9195099430743277,3.2097645475241037,4.802620186688015,4.812946346218982,3.281419340245332,4.745450782461414,4.5638177634403805,2.998508829956182,2.97718339152102,2.621123239168846,3.74436564161023,3.7163198214841424,4.610992001711186,3.9030418708133077,4.891961849246926,3.5028064962297676,2.5743947096996083,2.9209954832703984,4.782183959659612,3.588373696200828,3.4439571892829663,3.1897396247950236,4.258823780128284,2.5768082135325896,2.5254528046290323,3.81878888931263,2.866704459900716,4.05612246283833,4.1472937621520005
170,4.565704726497058,3.871955677532682,3.267030389735438,4.792935279653222,5.6753413254115115,3.170710044965182,4.7809046546247504,4.677486689130262,2.964018179206446,2.955358942869792,2.8034157936921202,3.872921553799494,3.3910128126597563,4.55587155983357,4.011348917369654,4.934268512210714,3.666997833316004,2.5826102423799897,3.0896899619318163,4.8813559383239475,3.786111300519938,3.4327750924661755,3.1935557230501184,4.212075317361468,2.5811336043351742,2.514984508123822,3.851411680655578,2.814919523009712,3.96561272207869,4.0850793639875365
175,4.638894253513734,3.7763523745837766,3.2696603689674077,4.703038328650208,4.963017352482498,3.1647655761248203,4.786667725015706,4.8772121774067205,2.95782508485504,2.968159725249188,2.624151276724212,3.809824578511442,3.2986689262352398,4.5451982552362065,3.9430862499896002,4.707067390734818,3.585144047127534,2.431864387616804,2.9795305271476478,4.94529455484028,3.7535470406119282,3.481646117951776,3.18495527919359,4.197115088774442,2.568985510896006,2.38711304163422,3.87315239062006,2.911324491512624,3.97864862544872,4.163118083108316
180,4.535540024377716,3.8844733094691763,3.2535205298988084,5.00809496558176,5.086984117045988,3.199358848240968,4.841675255680538,4.692372116914774,3.050256638856762,2.995409141976758,2.801958047828908,3.8066020915971697,3.3722213575103184,4.657502766127569,3.9201130722835322,4.974079008796454,3.53310847360855,2.594494230141144,2.871534791414912,4.686614067221796,3.700538614018236,3.4606730473329597,3.189649854635344,4.289708012625428,2.495981109059918,2.546613648459122,3.8672478183990897,2.879253459188738,3.989476660856546,4.16711812821156
185,4.447864740183286,3.9462893863718564,3.16255518770721,4.747395366974392,5.131416165256388,3.219412897935026,4.780694979189974,4.69459771828955,2.917042372809254,2.993731681892684,2.711286104546698,3.73588539812728,3.3796244553986483,4.59725943148197,3.8307393141240538,4.901547417553278,3.566907257482432,2.44216782997963,2.97464146560188,4.955515496107982,3.7684212025412456,3.4488207804186723,3.146747751141316,4.287464703169446,2.603986703861188,2.568225729617244,3.8069862121365703,2.8545417249297738,3.922610286950962,4.190634150395014
190,4.554215470962098,4.14603113761087,3.23155088465733,4.985848874301474,4.896039877155158,3.1701636601725243,4.828475987909805,4.63562119703263,2.95049112162875,2.977876615505966,2.6544242643053457,3.695322805499894,3.3850045686454058,4.54918058916644,3.8310678241420164,4.847226219907654,3.5728412716161158,2.516147751289264,2.993071766257388,4.905984507341128,3.6968475510718983,3.5158844339633317,3.0527996001440902,4.347185115716409,2.528937860952018,2.4328501896769703,3.8069313416514916,2.905251499445026,3.961005054506218,4.282299421425662
195,4.4815447244568505,3.907208731132792,3.189667029208606,4.894868279836795,5.0635463322093015,3.35830204412272,4.7766879283970365,4.550962110310811,3.091598667040218,2.911640419576382,2.63824748551357,3.8162657259166117,3.3280249275968017,4.661584529145342,3.7312339733422606,4.864501686433322,3.510579363564942,2.42006246636379,2.848417003052614,4.9260251840881555,3.685215106063216,3.471690694550842,3.189385714547286,4.473065212275812,2.566726796298794,2.5911961427577537,3.878950120124774,2.7943758763653337,3.9594017734989544,4.26937841859917
200,4.412557092091842,3.9892786595745355,3.2333485245216194,4.910682006710396,4.9918343448968745,3.1953475209848983,4.784503208563478,4.714538925253752,3.0318117711261037,3.005851708958346,2.727318124974988,3.96131241028037,3.4672077960379597,4.5392239531005005,3.5456388311310802,4.958909155962042,3.582932714107882,2.4754182880317,2.747151650406208,4.9580546318992615,3.7815317551130385,3.4655410589956537,3.156108157968852,4.323080576550008,2.643683679277092,2.4150255077038203,3.8495130503546378,2.858866738634778,3.948297172263126,4.113392120044872
205,4.598130173216304,3.9628282191958943,3.208716966667462,4.9379516790960745,5.40097424830206,3.196170974872164,4.782527106930538,4.84343163905929,3.012578455419656,2.96813671354231,2.585284417880644,3.9192386389799183,3.3515012333538357,4.691507548318196,3.52162164818877,4.889096158375464,3.518716660150878,2.418391896279156,3.1047053133071723,4.987478605297665,3.6440282076873842,3.4903471153904904,3.081016266518346,4.349386914659562,2.5569330347612036,2.4910600106747642,3.912784558554196,2.85101170826141,3.9513496025282278,4.34200642572912
210,4.802988775330892,3.93614532806937,3.169518719626848,4.882852058639002,5.443317744382943,3.2524406147111677,4.895514205938508,4.595849757314591,2.99353174957972,2.900975875656492,2.876422126172442,3.864167279477016,3.3691922020704617,4.7127311404082475,3.5217213611608664,4.914685942108532,3.772017513001402,2.567384158419628,2.822074396042476,5.023846310703364,3.824870736801708,3.4360656503004696,3.0964587051142938,4.2229485902020345,2.601591206942712,2.531311102152042,3.771002960116408,2.8326811599280957,3.952885228364342,4.35602181791548
215,4.448965822739256,3.8651954059144336,3.156335620076772,4.84355990271104,5.328944252071374,3.2051535051794517,4.916044200243418,4.689100166046524,2.923535470792892,2.9198303431551116,2.7000019237382102,3.8522019672039143,3.237346466667026,4.734655888603536,3.4902001299854377,4.916122546320488,3.5850841671347937,2.589187587346408,3.1021389019789063,4.946375529691682,3.8894831163516357,3.450809828769416,3.1431245411647817,4.387431683585286,2.570360330460894,2.565442952402092,3.774691995074852,2.873867420163876,3.971933246078462,4.288157499970476
220,4.460647015999564,3.868285682622884,3.1820159095881877,4.7561305221194505,5.476334229889434,3.165458704300804,4.89759479193764,4.675931859545644,3.19953537214667,2.96232962294102,2.66206630410895,3.8155829171419917,3.261644322931118,4.766591291393114,3.4652590952120237,5.001191626428682,3.4104571997911477,2.5312574473833798,2.812898773280236,4.89570946254633,3.841012929614712,3.439889611022462,3.088975116857056,4.298030036831264,2.642516271989214,2.526124533059506,3.8364631826990836,2.8642567293474643,3.826840279687306,4.363107025477122
225,4.4255284866199265,4.133795712752188,3.2465351314678523,4.809394543486144,5.128890431621504,3.191535940893614,4.879955705874858,4.762801857152098,3.1399940261257018,2.845487503913232,2.70432614613515,3.908066534105636,3.4187563405087857,4.786100214045594,3.135406103857836,5.056807994365624,3.1100340966704016,2.503545009120004,2.925092216315484,5.1271840103274275,3.796216950955588,3.4922216461325064,3.005960982790966,4.380943302275988,2.69859136825052,2.48708588377,3.8037790137113583,2.862098483657342,4.037142567967774,4.36531438179982
230,4.39799897433295,3.9354123734798554,3.207079803612826,4.834560713449164,5.4623418180601515,3.118860757270566,4.838432081542445,4.6449435207343,3.0129869685591517,2.9675878727068357,2.723260122123946,3.829589086280008,3.370862169693036,4.90073768286156,3.4307026850554623,4.9385649615300995,3.793476494591112,2.550772505991234,2.79652188193613,5.031068398566188,3.9894340114169133,3.502632680735414,3.197914538222384,4.332945787409958,2.719348860114008,2.406892341868936,3.831138556482582,2.9026029490686938,3.900738034892254,4.393422714068274
235,4.438676724540092,4.165931679570502,3.212564100181546,4.8873885953305045,5.301559571730214,3.274081418236854,4.91190874566474,4.912273963732796,3.0999848082672137,2.9388889828491562,2.763438383260906,3.9254407186418683,3.4233650849381,4.80208182386674,3.2301697645262997,5.026746071084232,3.5374698568963856,2.5525228700063463,2.953654675388634,5.042722165963232,4.06749275570751,3.3665338216667875,2.981277224562498,4.4381097809694285,2.5486074332480877,2.677920708910192,3.892182396023986,2.75345753320189,3.8670330677352625,4.420799721890916
240,4.275302866999918,3.9226267676145703,3.2297965169103664,4.808699055745012,5.437072780252784,3.0691368828995644,4.98309479660214,4.579699878450316,3.14486430534239,2.962940099860862,2.705109574750102,3.9622074068195117,3.3470669666256994,4.868574677486228,3.3110608821637397,5.0815494763802445,3.4123511190007236,2.504453086986354,3.007802340945524,5.162966381377418,3.8955721014881504,3.259762359527678,3.287193982781268,4.45701699866194,2.641040594651238,2.644331950078346,3.834217204251862,2.7968916597617,3.983271478865272,4.28888770570669
