,sg,sg,sg,sg,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A0,A1,tau1,TD1,A0,A1,tau1,TD1
p29,0.8238874092753757,2.620050515488821,17.627593126409252,8.167974192984436,0.8883585209113942,2.5560933519475797,17.624723535760374,8.553006710194248,0.761763441931517,2.68485121799487,18.566156646135664,6.704869427394254
p30,0.8799432883813968,1.5079182989661155,26.520764116732764,10.036180164609487,0.525685605319365,1.8688635546501258,30.15502281374313,1.4388998886030589e-18,0.9049534142744601,1.4798888232561516,25.075949587662983,12.067350228559837
p31,0.3467936706963623,2.461722557500286,16.34331293665677,8.339848814900353,0.426187953494227,2.382104643511308,16.451397461985927,8.690118964895108,0.29188076607237945,2.5174468569597956,16.84814057592153,7.17657430323913
p32,0.9419748923922043,3.718420905415746,23.59733901333663,7.75964597685991,1.128083123829771,3.5223929522985893,21.81307247903343,10.525006621194409,1.1515747377370822,3.493472121405295,20.782057355496523,11.661480635938682
p33,0.9659368881626303,2.2428132524945705,31.669696560861617,8.015179778311515,1.0819137516414525,2.124954071511328,30.99628078986379,10.219667224702269,0.9203073133149967,2.2922522457812344,32.671503909134934,6.400476662531843
p34,0.7923162428425976,1.8692938244675208,4.44581747150997,12.51010624888221,0.8708635552508471,1.7895179839289994,4.444353328808499,12.755780072713383,0.5092826195869357,2.152106591930648,7.610216897112288,6.572547313911268
p35,0.878038391550937,2.362700644312068,17.81736373370664,6.859102155224308,0.7956196024800735,2.443917074575336,17.57711278902178,6.564049795706666,1.1140186410950377,2.1162698990858098,13.304886015591235,13.50545131752557
p36,0.7473648799150936,3.3998407841890557,55.704981679319864,2.4539128103399577,0.7984241751217375,3.3449808256994773,55.66211880522817,3.191455933543007,0.7984629457350804,3.3382050296901844,54.732010280048,3.7612549829165003
p37,0.8447149343461491,2.12338978424657,20.800956617657242,12.595324764919065,0.8212885406942357,2.145930334993265,20.725298402486956,12.434286622547424,0.8512347736292205,2.1152344146532562,20.305744216750846,13.150323902821826
p38,0.6926142618314423,1.8205222939487722,17.623311457032063,7.15298385558751,0.6459338775628084,1.866077917973752,17.31573704574006,7.039412192152575,0.7146051555967073,1.7979140025787965,17.24481346880436,7.950006365903556
p40,0.786630021502438,2.8087263540172063,19.338503946975578,11.330621396322858,0.8421829124378795,2.7525697475165374,19.298495588634605,11.715019476260405,0.7672441843063244,2.8305503122387328,20.131442444168588,10.36440196862236
p42,0.5268025018659573,2.214328208405588,14.96431528919829,8.221684523732955,0.593350622019948,2.1478294822203434,14.998758502856262,8.588413618069561,0.46071544545382764,2.2821399621999663,15.841874578033009,6.6651510360834845
p43,0.9877813818863159,2.810032691398311,22.783785238586574,10.327905525291973,0.9531153561786815,2.844045718901625,22.582498172770443,10.237237545177619,1.0086736045638471,2.7846974887798606,21.7632883380935,11.426184393043599
p44,1.0262916904170467,2.9504862234768763,32.37702365244854,10.39814041799126,1.039515137617102,2.9372229686274354,32.091601589736136,10.779776476264162,1.03958543833148,2.9325623910632044,31.617328200259667,11.096293183154534
