participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
p19,cleaned,0.22444472865997012,0.22347975394976077,-252.51600995144977,-244.5224829213466,-7.9935270301031665,-244.45225729810593,-232.9879205364616,-11.464336761644347,False,
p20,sg,0.505540038140563,0.5475167940399351,-212.72811966319514,-200.61493964952314,-12.113180013672007,-204.6643670098513,-189.08037726463812,-15.583989745213188,False,
p20,bw,0.572633949123595,0.5513178824598739,-206.62176710419357,-200.2759367413115,-6.3458303628820545,-198.55801445084973,-188.7413743564265,-9.816640094423235,False,
p20,cleaned,0.5664270158839281,0.5499252710954512,-207.1557907402532,-200.3998657628197,-6.755924977433494,-199.09203808690935,-188.86530337793468,-10.226734708974675,False,tau2
p21,sg,1.2897691976703554,1.0360003024025863,-166.8351447644679,-169.3661902565705,2.531045492102578,-158.77139211112407,-157.83162787168547,-0.9397642394386025,True,tau2
p21,bw,1.313618592137574,1.0524761488067105,-165.93735072380474,-168.5930589897062,2.655708265901467,-157.8735980704609,-157.0584966048212,-0.8151014656397138,True,
p21,cleaned,1.2774315239505323,1.005132795401793,-167.30612520752499,-170.84833089942254,3.54220569189755,-159.24237255418115,-159.31376851453751,0.07139596035636941,True,
p25,sg,0.9749911433135051,1.1139792927547203,-180.54486346873324,-165.8102055035178,-14.734657965215433,-172.4811108153894,-154.2756431186328,-18.205467696756614,False,
p25,bw,0.9846374585766012,1.1249000073501383,-180.0624523983112,-165.33218128923738,-14.730271109073811,-171.99869974496735,-153.79761890435236,-18.201080840614992,False,
p25,cleaned,1.1356552524691834,1.1012091345938007,-173.0705656044123,-166.3751639278564,-6.6954016765559174,-165.00681295106847,-154.84060154297137,-10.166211408097098,False,
p26,sg,1.4979028646140542,0.7848637127300926,-159.5046098292823,-182.96920894824248,23.464599118960194,-151.44085717593845,-171.43464656335746,19.993789387419014,True,
p26,bw,1.4975409067570855,0.7842991381596965,-159.51645177086522,-183.00446871127784,23.48801694041262,-151.45269911752138,-171.46990632639282,20.01720720887144,True,
p26,cleaned,1.496522489066608,0.7829344951041319,-159.54978604750585,-183.08980063014758,23.54001458264173,-151.486033394162,-171.55523824526256,20.06920485110055,True,
p27,sg,0.5548685669364336,0.5548715764277626,-208.1660222411929,-199.96110531334722,-8.204916927845687,-200.10226958784907,-188.4265429284622,-11.675726659386868,False,A2 tau2
p27,bw,0.5379505269826869,0.5379538840862429,-209.6832911063782,-201.47833415792,-8.204956948458204,-201.61953845303435,-189.94377177303497,-11.675766679999384,False,A2 tau2
p27,cleaned,0.5043083648050106,0.5043083668289939,-212.84764656088018,-204.64299520143365,-8.20465135944653,-204.78389390753634,-193.10843281654863,-11.67546109098771,False,A2 tau2 TD2
p28,sg,1.7398921229081004,1.0025128200989826,-152.166513234398,-170.97622086339214,18.809707628994147,-144.10276058105416,-159.44165847850712,15.338897897452966,True,tau2
p28,bw,1.8261124915773372,1.0080733678537481,-149.7965658689868,-170.70518793150882,20.908622062522028,-141.73281321564295,-159.1706255466238,17.437812330980847,True,tau2
p28,cleaned,1.8206954068289867,1.0025340633906383,-149.94213830125838,-170.97518256219357,21.033044260935185,-141.87838564791454,-159.44062017730855,17.562234529394004,True,tau2
p29,sg,0.6543841419639227,0.6408685829573489,-200.0828213896559,-192.90080683895167,-7.182014550704224,-192.01906873631205,-181.36624445406665,-10.652824282245405,False,tau2
